release_year,runtime,imdb_votes,age_certification_NC-17,age_certification_PG,age_certification_PG-13,age_certification_R,age_certification_TV-14,age_certification_TV-G,age_certification_TV-MA,age_certification_TV-PG,age_certification_TV-Y,age_certification_TV-Y7
2021,68,1579.0,False,False,False,False,False,False,False,False,False,False
2011,134,25592.0,False,False,False,False,False,False,False,False,False,False
2017,41,673.0,False,False,False,False,False,False,False,False,False,False
2017,89,2846.0,False,False,False,False,False,False,False,False,False,False
2019,125,571.0,False,False,False,False,False,False,False,False,False,False
2013,94,120475.0,False,False,False,True,False,False,False,False,False,False
2020,118,15026.0,False,False,False,False,False,False,False,False,False,False
2018,42,16091.0,False,False,False,False,True,False,False,False,False,False
2020,117,20019.0,False,False,False,False,False,False,False,False,False,False
2016,13,47.0,False,False,False,False,False,False,False,False,False,True
1990,174,8902.0,False,False,False,False,False,False,False,False,False,False
2007,25,863.0,False,False,False,False,False,False,False,False,False,True
2017,140,165817.0,False,False,False,True,False,False,False,False,False,False
2016,65,1971.0,False,False,False,False,False,False,False,False,False,False
2020,77,196.0,False,False,False,False,False,False,False,False,False,False
1986,153,65.0,False,False,False,False,False,False,False,False,False,False
2021,13,655.0,False,False,False,False,False,False,False,False,False,False
2019,90,616.0,False,False,False,False,False,False,False,False,False,False
2017,37,155.0,False,False,False,False,True,False,False,False,False,False
2020,94,12092.0,False,False,False,False,False,False,False,False,False,False
2019,92,267.0,False,False,False,False,False,False,False,False,False,False
2010,126,18466.0,False,True,False,False,False,False,False,False,False,False
2016,96,1438.0,False,False,False,False,False,False,False,False,False,False
2021,87,44074.0,False,False,False,True,False,False,False,False,False,False
2018,114,212.0,False,False,False,False,False,False,False,False,False,False
2016,89,297.0,False,False,True,False,False,False,False,False,False,False
2016,47,308291.0,False,False,False,False,True,False,False,False,False,False
2021,93,6612.0,False,False,False,False,False,False,False,False,False,False
2016,24,3205.0,False,False,False,False,False,False,False,True,False,False
2018,68,1889.0,False,False,False,False,True,False,False,False,False,False
2018,124,325194.0,False,False,False,True,False,False,False,False,False,False
2018,56,1697.0,False,False,False,False,False,False,False,False,False,False
2018,48,95.0,False,False,False,False,False,False,False,False,False,False
2006,48,40.0,False,False,False,False,True,False,False,False,False,False
2022,42,5224.0,False,False,False,False,False,False,True,False,False,False
2018,64,1572.0,False,False,False,False,True,False,False,False,False,False
1999,127,180532.0,False,False,False,True,False,False,False,False,False,False
2018,94,17194.0,False,False,False,False,False,False,False,False,False,False
2019,96,118.0,False,False,False,False,False,False,False,False,False,False
2016,70,355.0,False,False,False,False,False,False,True,False,False,False
2017,54,2102.0,False,False,False,False,False,False,False,False,False,False
2022,99,16320.0,False,True,False,False,False,False,False,False,False,False
2017,125,8203.0,False,False,False,False,False,False,False,False,False,False
2020,93,8494.0,False,False,False,False,False,False,False,False,False,False
2013,128,93314.0,False,False,True,False,False,False,False,False,False,False
2019,44,2151.0,False,False,False,False,False,False,False,True,False,False
2013,160,7127.0,False,False,False,False,False,False,False,False,False,False
2017,42,21136.0,False,False,False,False,True,False,False,False,False,False
2004,87,23307.0,False,True,False,False,False,False,False,False,False,False
2016,42,21852.0,False,False,False,False,True,False,False,False,False,False
2019,42,759.0,False,False,False,False,False,False,False,True,False,False
2020,47,23180.0,False,False,False,False,False,False,True,False,False,False
2020,39,1178.0,False,False,False,False,False,False,False,False,False,False
2021,45,9504.0,False,False,False,False,False,False,True,False,False,False
2018,90,41508.0,False,False,False,False,False,False,False,False,False,False
2022,131,4170.0,False,False,False,False,False,False,False,False,False,False
2021,69,433.0,False,False,False,False,False,False,False,True,False,False
2020,108,14048.0,False,False,False,False,False,False,False,False,False,False
2021,40,23407.194987659008,False,False,False,False,False,False,False,False,False,False
2020,105,10030.0,False,False,False,False,False,False,False,False,False,False
2021,96,20828.0,False,False,False,True,False,False,False,False,False,False
2008,115,111694.0,False,False,True,False,False,False,False,False,False,False
2018,95,1711.0,False,False,False,False,False,False,False,False,False,False
2020,50,17435.0,False,False,False,False,True,False,False,False,False,False
2018,105,60870.0,False,False,True,False,False,False,False,False,False,False
2015,43,24479.0,False,False,False,False,True,False,False,False,False,False
2019,107,2345.0,False,False,False,False,False,False,False,False,False,False
2016,115,4335.0,False,False,False,False,False,False,False,False,False,False
2018,42,80.0,False,False,False,False,False,False,False,True,False,False
2014,121,2310.0,False,False,False,False,False,False,False,False,False,False
2022,90,3850.0,False,False,False,True,False,False,False,False,False,False
2019,39,45.0,False,False,False,False,False,False,False,False,False,False
2021,55,5093.0,False,False,False,False,True,False,False,False,False,False
2017,69,1587.0,False,False,False,False,False,False,False,False,False,False
2020,31,2437.0,False,False,False,False,False,False,True,False,False,False
2016,132,749.0,False,False,False,False,False,False,False,False,False,False
2008,96,10834.0,False,False,True,False,False,False,False,False,False,False
2017,75,5122.0,False,False,True,False,False,False,False,False,False,False
2018,24,375.0,False,False,False,False,True,False,False,False,False,False
2015,30,1364.0,False,False,False,False,False,False,False,False,False,False
2009,89,3284.0,False,False,False,True,False,False,False,False,False,False
2018,105,49880.0,False,False,True,False,False,False,False,False,False,False
2021,90,711.0,False,False,True,False,False,False,False,False,False,False
2021,13,314.0,False,False,False,False,False,False,False,True,False,False
1954,115,42373.0,False,False,False,False,False,False,False,False,False,False
2017,91,1249.0,False,False,False,False,False,False,False,False,False,False
2013,30,1130.0,False,False,False,False,False,False,False,False,False,True
2010,107,263019.0,False,False,False,False,False,False,False,False,False,False
2020,115,189.0,False,False,False,False,False,False,False,False,False,False
2006,91,114942.0,False,True,False,False,False,False,False,False,False,False
2022,128,350.0,False,False,False,False,False,False,False,False,False,False
